NAMEOID, Des, Default, Aliase
BUSINESS_CATEGORY, 业务类别, , 2.5.4.15 | businessCategory
COMMON_NAME, 公共名称, commonz, 2.5.4.3 | commonName | common
COUNTRY_NAME, 国家名称, CN, 2.5.4.6 | countryName | country
DN_QUALIFIER,  DN_限定符, , 2.5.4.46 | dnQualifier
DOMAIN_COMPONENT, 域_组件, , 0.9.2342.19200300.100.1.25 | domainComponent
EMAIL_ADDRESS, 电子邮件_地址, emailz, 1.2.840.113549.1.9.1 | emailAddress | email
GENERATION_QUALIFIER, 代_限定符, , 2.5.4.44 | generationQualifier
GIVEN_NAME, 名字, , 2.5.4.42 | givenName
INITIALS, 旅馆, , 2.5.4.43
INN, 管辖区_国家名称, , 1.2.643.3.131.1.1 | INN
JURISDICTION_COUNTRY_NAME, 管辖区_地点_名称, , 1.3.6.1.4.1.311.60.2.1.3 | jurisdictionCountryName
JURISDICTION_LOCALITY_NAME, 管辖区_州_或_省_名称, , 1.3.6.1.4.1.311.60.2.1.1 | jurisdictionLocalityName
JURISDICTION_STATE_OR_PROVINCE_NAME, 地点_名称, , 1.3.6.1.4.1.311.60.2.1.2 | jurisdictionStateOrProvinceName
LOCALITY_NAME, OGRN, cityz, 2.5.4.7 | localityName | local
OGRN, 组织_单位_名称, , 1.2.643.100.1 | OGRN
ORGANIZATIONAL_UNIT_NAME, 组织_标识符, , 2.5.4.11 | organizationalUnitName
ORGANIZATION_IDENTIFIER, 组织_名称, , 2.5.4.97
ORGANIZATION_NAME, 邮政_地址, orgz, 2.5.4.10 | organizationName | org
POSTAL_ADDRESS, 邮政_代码, , 2.5.4.16 | postalAddress
POSTAL_CODE, 假名, , 2.5.4.17 | postalCode
PSEUDONYM, 序列号, , 2.5.4.65 | pseudonym
SERIAL_NUMBER,  SNILS , , 2.5.4.5 | serialNumber
SNILS, 州_或_省_名称, , 1.2.643.100.3 | SNILS
STATE_OR_PROVINCE_NAME, 街道_地址, CN, 2.5.4.8 | stateOrProvinceName | provice
STREET_ADDRESS, 姓氏, , 2.5.4.9 | streetAddress
SURNAME, 头衔, , 2.5.4.4 | surname
TITLE, 非结构化名称, , 2.5.4.12 | title
UNSTRUCTURED_NAME, 用户_ID , , 1.2.840.113549.1.9.2 | unstructuredName
USER_ID, X500, , 0.9.2342.19200300.100.1.1 | userID
